                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     75,                 1.2811,                0.68611,                 1.0535,                 1.5036,                0.73266,                 1.0204,                0.87169,                0.90099,                0.94402,                0.58464,                 1.2566,                0.64023,                0.99571,                 1.3704,                0.58323,                0.97137,             0.00074449,             0.00074449,             0.00074449
                     76,                 1.2999,                0.69213,                 1.0524,                 1.5409,                0.76058,                 1.0144,                0.88516,                0.90064,                0.94894,                0.55917,                 1.3448,                0.65277,                  1.021,                 1.4307,                0.56923,                0.98393,             0.00072953,             0.00072953,             0.00072953
                     77,                 1.2868,                 0.6928,                 1.0517,                 1.5336,                0.76331,                 1.0168,                0.89321,                0.89689,                0.94309,                 0.5082,                  1.567,                 0.7139,                 1.0717,                 1.6066,                0.61688,                 1.0146,             0.00071457,             0.00071457,             0.00071457
                     78,                 1.2933,                0.69686,                 1.0547,                 1.5245,                0.76581,                 1.0163,                0.89006,                0.90307,                0.95281,                0.57634,                 1.3185,                0.64289,                 1.0135,                 1.4027,                0.55666,                0.97624,             0.00069961,             0.00069961,             0.00069961
                     79,                 1.3309,                0.71562,                 1.0696,                 1.5535,                0.77354,                 1.0341,                0.87992,                0.90984,                0.94806,                0.56005,                 1.3421,                0.65099,                  1.019,                 1.4338,                0.58214,                0.98556,             0.00068465,             0.00068465,             0.00068465
                     80,                 1.2899,                0.69856,                 1.0561,                 1.5367,                0.77944,                 1.0219,                0.89756,                0.89901,                0.95153,                0.56577,                 1.3512,                0.64028,                 1.0185,                 1.4395,                0.57168,                0.98463,             0.00066971,             0.00066971,             0.00066971
                     81,                 1.2915,                0.68816,                 1.0535,                 1.5351,                0.75452,                  1.022,                0.89944,                 0.8896,                0.94777,                0.54941,                 1.3898,                0.65851,                 1.0289,                 1.4824,                0.61826,                 0.9979,             0.00065479,             0.00065479,             0.00065479
                     82,                 1.2908,                0.69089,                 1.0555,                 1.5306,                0.76912,                 1.0205,                0.90009,                0.90327,                0.95023,                0.57055,                  1.313,                0.63894,                 1.0133,                 1.4206,                0.58321,                0.98243,             0.00063989,             0.00063989,             0.00063989
                     83,                 1.2559,                0.66249,                 1.0417,                 1.4873,                0.71366,                 1.0051,                0.87829,                0.89872,                0.94827,                0.57438,                 1.2979,                0.63735,                 1.0091,                 1.4043,                0.58126,                0.98018,             0.00062503,             0.00062503,             0.00062503
                     84,                 1.2806,                0.68669,                 1.0469,                  1.524,                0.75863,                 1.0105,                0.87265,                0.89899,                0.94865,                0.57017,                 1.3171,                0.63607,                 1.0068,                 1.4261,                0.57933,                0.97951,             0.00061021,             0.00061021,             0.00061021
                     85,                 1.2738,                0.67972,                 1.0393,                 1.5121,                0.74959,                 1.0029,                0.88344,                0.91155,                0.95067,                0.59368,                 1.2471,                0.61775,                0.99181,                 1.3506,                0.55153,                0.96495,             0.00059543,             0.00059543,             0.00059543
                     86,                 1.2746,                0.68502,                 1.0513,                 1.5163,                 0.7472,                 1.0155,                0.89537,                0.90118,                0.94938,                 0.5891,                 1.2639,                0.63114,                0.99572,                 1.3488,                0.57886,                0.96852,              0.0005807,              0.0005807,              0.0005807
                     87,                 1.2742,                 0.6771,                 1.0507,                 1.4972,                0.72853,                 1.0164,                0.88537,                0.90467,                0.94788,                0.56018,                 1.3299,                0.64404,                 1.0139,                 1.4455,                0.59205,                0.98577,             0.00056603,             0.00056603,             0.00056603
                     88,                   1.28,                 0.6841,                 1.0457,                 1.5199,                0.74405,                 1.0095,                0.90978,                0.87835,                0.94872,                0.55555,                 1.3781,                  0.655,                 1.0219,                 1.4498,                0.59675,                0.98345,             0.00055143,             0.00055143,             0.00055143
                     89,                 1.2839,                0.68228,                 1.0485,                 1.5259,                0.74738,                  1.011,                0.88467,                0.91563,                0.95441,                0.56113,                 1.3796,                0.64165,                 1.0269,                 1.4435,                0.56892,                0.98776,              0.0005369,              0.0005369,              0.0005369
                     90,                 1.2766,                 0.6741,                 1.0466,                 1.5113,                0.73491,                 1.0145,                0.87716,                0.90666,                0.94865,                 0.5966,                 1.2374,                0.62982,                0.99527,                 1.3364,                0.57146,                 0.9635,             0.00052245,             0.00052245,             0.00052245
                     91,                 1.2567,                0.65545,                 1.0358,                 1.4904,                0.70689,                 1.0056,                0.89793,                0.89972,                0.95138,                0.57457,                 1.2958,                 0.6386,                 1.0062,                 1.4042,                0.58173,                0.97879,             0.00050808,             0.00050808,             0.00050808
                     92,                 1.2701,                0.68225,                 1.0485,                 1.5094,                0.75838,                 1.0164,                0.89889,                0.90411,                 0.9496,                0.57712,                 1.3223,                0.63637,                 1.0067,                 1.3863,                0.57635,                 0.9732,              0.0004938,              0.0004938,              0.0004938
                     93,                 1.2588,                0.66607,                 1.0328,                 1.4957,                0.72426,                 0.9986,                0.88358,                0.89742,                 0.9494,                0.58623,                 1.2842,                0.63397,                 1.0044,                 1.3757,                0.57067,                0.97183,             0.00047962,             0.00047962,             0.00047962
                     94,                 1.2677,                0.67195,                 1.0449,                 1.5053,                0.72834,                 1.0145,                0.88074,                0.90574,                 0.9491,                0.57962,                 1.2848,                0.63625,                 1.0087,                 1.3788,                0.57665,                 0.9761,             0.00046554,             0.00046554,             0.00046554
                     95,                 1.2737,                0.67753,                 1.0451,                 1.5129,                 0.7435,                 1.0098,                0.89679,                0.90432,                 0.9527,                0.59431,                  1.265,                0.62175,                0.99825,                 1.3391,                0.56272,                0.96386,             0.00045157,             0.00045157,             0.00045157
                     96,                 1.2391,                0.65687,                 1.0334,                 1.4707,                0.71047,                 1.0019,                 0.8995,                0.90225,                0.95311,                0.57793,                 1.3173,                 0.6326,                 1.0137,                 1.3836,                0.56266,                0.97329,             0.00043772,             0.00043772,             0.00043772
                     97,                 1.2444,                0.66387,                 1.0314,                 1.4715,                0.72763,                0.99869,                0.90187,                0.90529,                0.95265,                0.56604,                 1.3446,                 0.6428,                 1.0234,                 1.4163,                0.58713,                0.98316,             0.00042399,             0.00042399,             0.00042399
                     98,                 1.2431,                0.66818,                 1.0359,                 1.4934,                0.72229,                  1.005,                0.89844,                  0.914,                0.95736,                0.58339,                 1.2655,                0.61913,                 1.0007,                 1.3711,                0.56756,                0.97364,             0.00041038,             0.00041038,             0.00041038
                     99,                 1.2324,                0.64879,                 1.0253,                 1.4676,                0.69546,                0.99304,                0.90094,                0.89995,                0.95499,                0.58681,                 1.2675,                0.61277,                0.99961,                 1.3645,                0.56036,                0.96952,             0.00039691,             0.00039691,             0.00039691
                    100,                 1.2452,                0.65759,                 1.0346,                 1.4935,                0.73358,                 1.0048,                0.89254,                0.89698,                0.94961,                0.56627,                  1.316,                0.63209,                 1.0136,                 1.4252,                0.57378,                0.98626,             0.00038358,             0.00038358,             0.00038358
                    101,                 1.2409,                0.66618,                 1.0336,                 1.4867,                0.72969,                 1.0022,                0.90164,                0.90157,                 0.9496,                0.55385,                 1.3677,                0.64623,                 1.0203,                 1.4604,                0.58431,                0.98771,             0.00037039,             0.00037039,             0.00037039
                    102,                 1.2443,                0.65205,                 1.0329,                 1.4784,                0.71095,                 1.0008,                0.90589,                 0.9019,                0.95289,                0.53675,                 1.4398,                0.65946,                 1.0414,                 1.5151,                0.59397,                 1.0031,             0.00035736,             0.00035736,             0.00035736
                    103,                 1.2303,                0.64737,                 1.0307,                 1.4709,                0.70627,                0.99943,                0.89504,                0.89949,                 0.9503,                0.54121,                 1.4175,                0.64951,                 1.0416,                 1.5004,                0.58078,                  1.005,             0.00034448,             0.00034448,             0.00034448
                    104,                 1.2432,                0.66083,                 1.0315,                 1.4823,                 0.7204,                0.99723,                0.88842,                 0.9122,                0.95109,                0.54719,                  1.363,                0.63341,                 1.0226,                 1.4702,                0.57532,                0.99675,             0.00033176,             0.00033176,             0.00033176
                    105,                  1.228,                0.63122,                 1.0286,                 1.4564,                0.66569,                 1.0002,                0.90123,                0.90123,                0.95603,                0.57766,                 1.3213,                0.62369,                 1.0148,                 1.4144,                0.55904,                0.98281,             0.00031921,             0.00031921,             0.00031921
                    106,                 1.2172,                0.63703,                 1.0248,                 1.4574,                 0.6831,                0.99862,                0.90352,                0.90234,                0.95422,                0.56892,                 1.3344,                0.62864,                 1.0143,                 1.4346,                0.56258,                0.98385,             0.00030684,             0.00030684,             0.00030684
                    107,                 1.2331,                0.64674,                 1.0275,                 1.4678,                0.69247,                 1.0004,                 0.9007,                0.89493,                0.95576,                 0.5918,                 1.2698,                0.61261,                  1.001,                 1.3671,                0.54807,                0.97173,             0.00029464,             0.00029464,             0.00029464
                    108,                 1.2191,                0.64416,                 1.0254,                 1.4692,                0.69576,                0.99471,                0.89651,                0.90561,                0.95502,                0.58329,                 1.2906,                  0.622,                 1.0055,                 1.3939,                 0.5531,                0.97729,             0.00028263,             0.00028263,             0.00028263
                    109,                 1.2205,                0.63413,                 1.0237,                 1.4475,                0.68455,                0.99693,                0.89818,                0.90575,                0.95653,                0.58184,                 1.2665,                0.60935,                 1.0048,                 1.3824,                0.55761,                0.98169,             0.00027081,             0.00027081,             0.00027081
                    110,                 1.2219,                0.64167,                 1.0214,                  1.466,                0.70084,                0.98889,                0.90031,                0.89902,                0.95883,                0.57925,                  1.302,                0.62192,                 1.0136,                 1.4025,                 0.5582,                0.98405,             0.00025918,             0.00025918,             0.00025918
                    111,                 1.2091,                0.64226,                 1.0314,                 1.4457,                0.70528,                 1.0061,                0.89909,                 0.9075,                0.95573,                0.57508,                 1.3068,                0.61919,                 1.0109,                 1.4032,                0.55966,                0.98372,             0.00024775,             0.00024775,             0.00024775
                    112,                 1.2091,                0.63747,                 1.0194,                 1.4489,                0.69387,                0.99087,                0.89104,                 0.9054,                0.95424,                0.57248,                 1.2938,                0.62164,                 1.0089,                 1.4043,                0.57238,                0.98478,             0.00023653,             0.00023653,             0.00023653
                    113,                 1.2222,                0.64028,                   1.03,                 1.4452,                0.68724,                 1.0005,                0.90148,                0.89644,                0.95362,                0.59026,                 1.2462,                0.60702,                0.99353,                 1.3662,                0.55746,                0.96991,             0.00022551,             0.00022551,             0.00022551
                    114,                 1.2024,                0.63345,                 1.0157,                 1.4489,                0.69331,                0.98789,                0.90404,                0.90983,                0.95647,                0.56873,                 1.3298,                0.62952,                 1.0133,                 1.4331,                0.56514,                0.98373,             0.00021471,             0.00021471,             0.00021471
                    115,                 1.2262,                0.64481,                 1.0328,                  1.449,                0.69146,                 1.0068,                0.90001,                0.90933,                0.95366,                0.57028,                  1.318,                0.62245,                 1.0107,                 1.4162,                 0.5579,                0.98097,             0.00020413,             0.00020413,             0.00020413
                    116,                 1.1873,                0.62603,                 1.0133,                  1.442,                0.68293,                0.98096,                 0.8985,                0.90594,                0.95543,                0.57231,                 1.3178,                0.62561,                 1.0114,                 1.4083,                0.57046,                0.97844,             0.00019378,             0.00019378,             0.00019378
                    117,                 1.2014,                0.63895,                 1.0182,                 1.4402,                0.69346,                0.98666,                0.90494,                0.90641,                0.95599,                 0.5937,                 1.2584,                0.60897,                 0.9957,                  1.354,                0.54602,                0.96677,             0.00018365,             0.00018365,             0.00018365
                    118,                 1.2071,                0.63015,                 1.0194,                   1.45,                0.67386,                0.99298,                0.91117,                0.89592,                0.95588,                 0.5975,                 1.2464,                0.60322,                0.99381,                 1.3431,                0.55229,                0.96579,             0.00017375,             0.00017375,             0.00017375
                    119,                 1.1922,                0.62747,                 1.0183,                 1.4243,                0.68004,                0.99251,                0.90347,                0.90066,                0.95798,                0.57848,                 1.2827,                0.61521,                 1.0036,                 1.4047,                 0.5638,                0.98152,             0.00016409,             0.00016409,             0.00016409
                    120,                 1.1904,                0.61886,                 1.0152,                 1.4177,                0.65671,                0.98831,                0.89213,                0.91202,                0.95788,                0.59217,                 1.2655,                0.60833,                0.99777,                 1.3665,                0.54893,                0.97004,             0.00015468,             0.00015468,             0.00015468
                    121,                 1.2081,                0.64573,                 1.0214,                 1.4601,                 0.7064,                0.98938,                0.89252,                0.91381,                0.95744,                0.58509,                 1.2893,                0.61375,                 1.0011,                 1.3775,                0.54669,                0.97402,             0.00014551,             0.00014551,             0.00014551
                    122,                 1.1993,                0.62781,                 1.0183,                 1.4379,                0.69287,                0.98961,                0.89342,                0.90607,                0.95748,                0.58207,                 1.2871,                0.61146,                 1.0017,                 1.3881,                0.55259,                0.97459,             0.00013659,             0.00013659,             0.00013659
                    123,                 1.1884,                0.61186,                 1.0097,                 1.4246,                0.65256,                0.98173,                0.90537,                 0.8996,                0.95651,                0.59448,                  1.251,                0.60245,                0.99399,                  1.354,                0.54694,                0.96868,             0.00012792,             0.00012792,             0.00012792
                    124,                 1.1925,                0.62088,                 1.0177,                 1.4267,                0.67579,                0.99276,                0.90085,                0.90696,                0.95617,                0.57732,                  1.305,                0.61941,                 1.0088,                 1.4062,                 0.5574,                0.98184,             0.00011951,             0.00011951,             0.00011951
                    125,                 1.1978,                0.63091,                  1.019,                 1.4384,                0.68896,                0.99167,                0.90115,                0.89909,                0.95414,                0.57996,                 1.2772,                 0.6172,                 1.0051,                  1.395,                 0.5655,                0.97983,             0.00011136,             0.00011136,             0.00011136
                    126,                  1.176,                0.61691,                 1.0014,                  1.415,                0.66608,                0.97419,                0.89364,                0.90298,                0.95668,                0.58687,                 1.2762,                0.61208,                0.99892,                 1.3828,                0.55576,                0.97565,             0.00010347,             0.00010347,             0.00010347
                    127,                 1.1656,                0.61255,                 1.0073,                 1.4054,                0.65659,                0.98156,                0.90348,                0.89747,                0.95539,                0.59207,                 1.2527,                0.60817,                0.99571,                  1.358,                0.55858,                0.96945,             9.5858e-05,             9.5858e-05,             9.5858e-05
                    128,                 1.2034,                0.63238,                 1.0183,                 1.4471,                0.69367,                 0.9891,                 0.8986,                0.91003,                0.95804,                0.59165,                  1.272,                0.60729,                 0.9987,                 1.3693,                0.54851,                0.97161,             8.8513e-05,             8.8513e-05,             8.8513e-05
                    129,                 1.2017,                0.63302,                 1.0218,                 1.4507,                0.70511,                0.99153,                0.90537,                0.89698,                0.95701,                0.58938,                 1.2793,                 0.6118,                 1.0012,                 1.3846,                0.55397,                0.97489,             8.1442e-05,             8.1442e-05,             8.1442e-05
                    130,                  1.197,                0.62402,                 1.0179,                 1.4314,                0.68076,                0.99221,                0.89731,                  0.913,                0.95634,                0.58214,                 1.2944,                0.61504,                 1.0041,                  1.393,                0.55644,                  0.978,             7.4649e-05,             7.4649e-05,             7.4649e-05
                    131,                  1.187,                 0.6259,                  1.015,                 1.4091,                0.67697,                0.98997,                0.90383,                0.89757,                0.95702,                0.59046,                 1.2694,                0.60846,                0.99914,                 1.3729,                0.55355,                0.97323,             6.8137e-05,             6.8137e-05,             6.8137e-05
                    132,                 1.1828,                0.61819,                 1.0084,                  1.424,                0.66947,                0.98362,                0.89824,                0.91216,                0.95866,                 0.5814,                 1.3022,                0.61604,                 1.0058,                 1.3976,                0.54929,                0.97967,             6.1908e-05,             6.1908e-05,             6.1908e-05
                    133,                 1.1819,                0.61782,                  1.013,                 1.4095,                0.65746,                0.98602,                0.89283,                 0.9136,                 0.9571,                0.58305,                 1.2814,                0.61014,                 1.0039,                 1.3876,                0.55369,                0.97917,             5.5966e-05,             5.5966e-05,             5.5966e-05
                    134,                 1.1724,                0.61699,                 1.0098,                  1.421,                 0.6755,                0.98274,                0.90052,                 0.9133,                0.95828,                0.57787,                 1.3004,                0.61309,                 1.0084,                 1.3994,                 0.5524,                0.98224,             5.0313e-05,             5.0313e-05,             5.0313e-05
                    135,                 1.1889,                0.63089,                 1.0134,                 1.4355,                0.69529,                0.98246,                0.89511,                0.90853,                0.95821,                0.58855,                 1.2689,                0.60337,                 1.0017,                 1.3744,                0.54919,                0.97625,              4.495e-05,              4.495e-05,              4.495e-05
                    136,                 1.1774,                0.61859,                 1.0064,                 1.4174,                 0.6711,                0.97884,                0.90138,                0.90491,                0.95843,                0.58539,                 1.2804,                0.60561,                 1.0031,                 1.3819,                0.54891,                0.97745,             3.9882e-05,             3.9882e-05,             3.9882e-05
                    137,                 1.1765,                0.62309,                 1.0112,                 1.4134,                0.66621,                0.98678,                0.89333,                0.91431,                0.95914,                0.58785,                 1.2748,                0.60357,                 1.0026,                 1.3731,                0.54535,                0.97509,              3.511e-05,              3.511e-05,              3.511e-05
                    138,                 1.1808,                0.61802,                 1.0105,                 1.4274,                0.67235,                0.98768,                0.89884,                0.91663,                0.95981,                0.58813,                 1.2796,                 0.6054,                 1.0027,                 1.3734,                0.54488,                 0.9745,             3.0635e-05,             3.0635e-05,             3.0635e-05
                    139,                 1.1763,                0.62078,                 1.0049,                 1.4255,                0.68011,                0.97555,                0.89969,                0.90955,                0.95893,                0.58634,                  1.274,                0.60556,                0.99997,                 1.3721,                 0.5496,                0.97389,             2.6461e-05,             2.6461e-05,             2.6461e-05
                    140,                 1.1898,                0.63068,                 1.0137,                 1.4239,                0.68119,                0.98739,                0.89684,                0.91422,                0.95832,                0.58453,                 1.2744,                0.60519,                 1.0013,                 1.3765,                0.55326,                0.97596,             2.2588e-05,             2.2588e-05,             2.2588e-05
                    141,                 1.1454,                0.55984,                0.99794,                 1.3278,                0.52778,                0.97791,                0.89171,                0.91612,                0.95641,                0.58188,                 1.2812,                0.61268,                 1.0076,                 1.3784,                0.54947,                0.97972,             1.9019e-05,             1.9019e-05,             1.9019e-05
                    142,                 1.1428,                0.55917,                0.98898,                 1.3354,                0.53074,                0.97156,                0.88293,                0.91603,                0.95626,                0.58271,                 1.2787,                0.61323,                 1.0062,                 1.3782,                0.54976,                0.97933,             1.5755e-05,             1.5755e-05,             1.5755e-05
                    143,                 1.1313,                0.55428,                0.98701,                 1.3241,                0.53143,                0.96815,                0.88963,                0.90872,                0.95583,                0.58611,                 1.2754,                0.61055,                 1.0042,                 1.3733,                0.55017,                0.97517,             1.2797e-05,             1.2797e-05,             1.2797e-05
                    144,                 1.1336,                0.55386,                0.98623,                 1.3184,                0.52339,                0.96949,                0.90284,                0.90287,                0.95722,                0.58608,                  1.279,                0.60975,                 1.0038,                 1.3789,                 0.5435,                0.97619,             1.0148e-05,             1.0148e-05,             1.0148e-05
                    145,                 1.1261,                0.54957,                0.98534,                  1.314,                0.52055,                0.96666,                0.89707,                0.90394,                0.95744,                 0.5878,                 1.2733,                0.60765,                 1.0023,                 1.3702,                0.54344,                0.97383,             7.8071e-06,             7.8071e-06,             7.8071e-06
                    146,                 1.1209,                0.54574,                0.98139,                  1.314,                0.52035,                0.96252,                0.89422,                0.90472,                0.95753,                0.58852,                 1.2717,                0.60886,                  1.002,                 1.3689,                0.54935,                0.97246,             5.7764e-06,             5.7764e-06,             5.7764e-06
                    147,                 1.1291,                0.54674,                0.98278,                 1.3194,                0.51872,                 0.9642,                0.90479,                0.89827,                0.95763,                0.58862,                 1.2712,                0.60784,                 1.0017,                 1.3684,                0.54418,                0.97159,             4.0566e-06,             4.0566e-06,             4.0566e-06
                    148,                 1.1249,                0.54974,                 0.9823,                 1.3085,                0.52287,                0.96283,                0.89419,                0.91149,                0.95796,                 0.5874,                 1.2737,                0.60798,                 1.0024,                 1.3745,                0.53645,                0.97637,             2.6485e-06,             2.6485e-06,             2.6485e-06
                    149,                 1.1358,                0.55391,                0.98395,                  1.327,                0.52773,                  0.968,                0.89622,                0.90818,                0.95799,                0.58791,                 1.2724,                0.60782,                 1.0023,                 1.3739,                0.53744,                0.97597,             1.5527e-06,             1.5527e-06,             1.5527e-06
                    150,                 1.1314,                0.54869,                0.98947,                 1.3068,                0.51415,                0.97533,                0.89989,                0.90511,                0.95805,                0.58711,                 1.2744,                 0.6067,                  1.003,                 1.3733,                0.54027,                0.97555,             7.6958e-07,             7.6958e-07,             7.6958e-07
